AFG  = afghanistan
ALA  = aland islands
ALB  = albania
DZA  = algeria
ASM  = american samoa
AND  = andorra
AGO  = angola
AIA  = anguilla
ATA  = antarctica
ATG  = antigua and barbuda
ARG  = argentina
ARM  = armenia
ABW  = aruba
AUS  = australia
AUT  = austria
AZE  = azerbaijan
BHS  = bahamas
BHR  = bahrain
BGD  = bangladesh
BRB  = barbados
BLR  = belarus
BEL  = belgium
BLZ  = belize
BEN  = benin
BMU  = bermuda
BTN  = bhutan
BOL  = bolivia
BIH  = bosnia and herzegovina
BWA  = botswana
BVT  = bouvet island
BRA  = brazil
VGB  = british virgin islands
IOT  = british indian ocean territory
BRN  = brunei darussalam
BGR  = bulgaria
BFA  = burkina faso
BDI  = burundi
KHM  = cambodia
CMR  = cameroon
CAN  = canada
CPV  = cape verde
CYM  = cayman islands
CAF  = central african republic
TCD  = chad
CHL  = chile
CHN  = china
HKG  = hong kong, sar china
MAC  = macao, sar china
CXR  = christmas island
CCK  = cocos (keeling) islands
COL  = colombia
COM  = comoros
COG  = congo (brazzaville)
COD  = congo, (kinshasa)
COK  = cook islands
CRI  = costa rica
CIV  = côte d'ivoire
HRV  = croatia
CUB  = cuba
CYP  = cyprus
CZE  = czech republic
DNK  = denmark
DJI  = djibouti
DMA  = dominica
DOM  = dominican republic
ECU  = ecuador
EGY  = egypt
SLV  = el salvador
GNQ  = equatorial guinea
ERI  = eritrea
EST  = estonia
ETH  = ethiopia
FLK  = falkland islands (malvinas)
FRO  = faroe islands
FJI  = fiji
FIN  = finland
FRA  = france
GUF  = french guiana
PYF  = french polynesia
ATF  = french southern territories
GAB  = gabon
GMB  = gambia
GEO  = georgia
DEU  = germany
GHA  = ghana
GIB  = gibraltar
GRC  = greece
GRL  = greenland
GRD  = grenada
GLP  = guadeloupe
GUM  = guam
GTM  = guatemala
GGY  = guernsey
GIN  = guinea
GNB  = guinea-bissau
GUY  = guyana
HTI  = haiti
HMD  = heard and mcdonald islands
VA  = vatican
VA = holy see
HND  = honduras
HUN  = hungary
ISL  = iceland
IND  = india
IDN  = indonesia
IRQ  = iran
IRL  = ireland
IMN  = isle of man
ISR  = israel
ITA  = italy
JAM  = jamaica
JPN  = japan
JEY  = jersey
JOR  = jordan
KAZ  = kazakhstan
KEN  = kenya
KIR  = kiribati
PRK  = north korea
KOR  = south korea
KWT  = kuwait
KGZ  = kyrgyzstan
LAO  = lao pdr
LVA  = latvia
LBN  = lebanon
LSO  = lesotho
LBR  = liberia
LBY  = libya
LIE  = liechtenstein
LTU  = lithuania
LUX  = luxembourg
MKD  = macedonia
MDG  = madagascar
MWI  = malawi
MYS  = malaysia
MDV  = maldives
MLI  = mali
MLT  = malta
MHL  = marshall islands
MTQ  = martinique
MRT  = mauritania
MUS  = mauritius
MYT  = mayotte
MEX  = mexico
FSM  = micronesia
MDA  = moldova
MCO  = monaco
MNG  = mongolia
MNE  = montenegro
MSR  = montserrat
MAR  = morocco
MOZ  = mozambique
MMR  = myanmar
NAM  = namibia
NRU  = nauru
NPL  = nepal
NLD  = netherlands
ANT  = netherlands antilles
NCL  = new caledonia
NZL  = new zealand
NIC  = nicaragua
NER  = niger
NGA  = nigeria
NIU  = niue
NFK  = norfolk island
MNP  = northern mariana islands
NOR  = norway
OMN  = oman
PAK  = pakistan
PLW  = palau
PSE  = palestinian territory
PAN  = panama
PNG  = papua new guinea
PRY  = paraguay
PER  = peru
PHL  = philippines
PCN  = pitcairn
POL  = poland
PRT  = portugal
PRI  = puerto rico
QAT  = qatar
REU  = réunion
ROU  = romania
RUS  = russian federation
RWA  = rwanda
BLM  = saint-barthélemy
SHN  = saint helena
KNA  = saint kitts and nevis
LCA  = saint lucia
MAF  = saint-martin
SPM  = saint pierre and miquelon
VCT  = saint vincent and grenadines
WSM  = samoa
SMR  = san marino
STP  = sao tome and principe
SAU  = saudi arabia
SEN  = senegal
SRB  = serbia
SYC  = seychelles
SLE  = sierra leone
SGP  = singapore
SVK  = slovakia
SVN  = slovenia
SLB  = solomon islands
SOM  = somalia
ZAF  = south africa
SGS  = south georgia and the south sandwich islands
SSD  = south sudan
ESP  = spain
LKA  = sri lanka
SDN  = sudan
SUR  = suriname
SJM  = svalbard and jan mayen islands
SWZ  = swaziland
SWE  = sweden
CHE  = switzerland
SY  = syria
TWN  = taiwan
TJK  = tajikistan
TZA  = tanzania
THA  = thailand
TLS  = timor-leste
TGO  = togo
TKL  = tokelau
TON  = tonga
TTO  = trinidad and tobago
TUN  = tunisia
TUR  = turkey
TKM  = turkmenistan
TCA  = turks and caicos islands
TUV  = tuvalu
UGA  = uganda
UKR  = ukraine
ARE  = united arab emirates
GBR  = united kingdom
USA  = united states of america
