and	そして
was	was
for	for
from	から
this	この
this	これ
his	his
not	not
are	are
talk	トーク
also	also
also	また
has	has
were	were
but	でも
but	しかし
one	一つ
one	one
one	一人
one	ワン
new	new
new	新しい
new	新規
first	ファースト
first	最初
page	ページ
you	あなた
had	had
article	記事
article	冠詞
who	who
all	all
all	すべて
there	そこ
made	made
its	its
people	ピープル
may	メイ
may	五月
after	アフター
other	その他
two	二つ
two	二人
score	スコア
score	得点
can	can
more	もっと
she	彼女
about	について
when	いつ
when	とき
time	タイム
time	時間
team	チーム
american	アメリカン
discussion	話し合い
discussion	ディスカッション
links	リンク
only	のみ
some	いくつか
some	一部
some	いくらか
see	見る
united	ユナイテッド
years	年数
school	学校
school	スクール
world	世界
world	ワールド
university	大学
out	アウト
state	都道府県
state	状態
national	国民
national	ナショナル
wikipedia	wikipedia
wikipedia	ウィキペディア
year	イヤー
city	シティ
city	都市
over	オーバー
over	over
then	それから
than	より
county	カウンティ
external	外部
where	どこ
will	ウィル
will	遺言
delete	削除
any	any
these	これらの
these	これら
march	マーチ
march	行進曲
august	アウグスト
being	being
film	映画
film	フィルム
him	him
many	多数
south	サウス
september	九月
october	十月
three	三人
three	three
three	スリー
june	六月
well	まあ
use	使用
war	戦争
april	四月
april	エイプリル
link	リンク
while	while
later	後で
part	パート
part	部分
november	十一月
further	さらに
players	選手
players	プレイヤー
list	リスト
february	二月
second	番目
second	セカンド
name	名前
name	氏名
name	名称
group	集団
group	グループ
history	履歴
history	由緒
history	歴史
history	沿革
series	シリーズ
just	ちょうど
just	ジャスト
just	ただ
north	ノース
work	作業
work	仕事
work	ワーク
before	以前
since	以来
since	since
season	季節
season	シーズン
both	両方
high	ハイ
high	高い
through	through
through	スルー
district	地区
district	ディストリクト
now	now
now	ナウ
comments	コメント
because	なぜなら
because	だって
football	フットボール
music	ミュージック
music	音楽
however	しかしながら
diff	diff
century	世紀
century	センチュリー
league	リーグ
edits	編集
debate	ディベート
title	肩書
title	称号
title	タイトル
articles	記事
articles	冠詞
john	ジョン
same	同じ
same	おなじ
including	含む
english	イングリッシュ
english	英語
album	アルバム
number	番号
number	数値
number	ナンバー
against	反対
family	家族
user	ユーザー
user	ユーザ
area	面積
area	領域
area	エリア
york	ヨーク
life	生活
life	生命
life	人生
life	ライフ
international	インターナショナル
international	国際
game	ゲーム
above	上の
above	上記
club	クラブ
club	棍棒
until	until
until	まで
early	アーリー
early	早い
best	最高
best	ベスト
best	best
west	ウエスト
west	西部
west	ウェスト
house	ハウス
company	会社
general	全般
general	一般
general	将軍
left	左側
here	ここ
don	ドン
living	リビング
living	living
day	day
day	一日
place	place
place	場所
place	スポット
party	パーティ
