day	دن
money	پیسہ
money	رقم
ears	کان
petulance	شوخی
petulant	فاسق
petulant	عیاش
petty	خفیف
petty	کم ظرف
nervous	حواس باختہ
nervous	گھبرایا ہوا
nerveless	نحیف
nerveless	کم زور
nerveless	بے حس
nerveless	بے اعصاب
nervous	چڑ چڑایا
nervous	بے چین
nervous	عصبی
nerveless	پر سکون
Internet address	انٹرنیٹ پتہ
international number format	نمبروں کی بین الاقوامی ترتیب
Internet access provider	انٹرنیٹ رسائی کار
Internet	انٹر نیٹ
kind	نیک
kind	مشفق
kind	مہربان
kind	نرم دل
kind	شفیق
kind	رحیم
new moon	ماہ نو
Academy	اکیڈیمی
twinkling	جھلملاہٹ
twinkling	ٹمٹماہٹ
twinge	ٹیس
twinkle	چمکنا
twinkle	جھل ملانا
twinkle	پلک پھڑکنا
twinkle	چمک
twinkle	اشارہ
twinkle	لرز
twinkling	جگمگاہٹ
automation	خود کاری
Automation	خود کاری
Automation object	آٹومیشن آبجیکٹ
hospitality	مهمان داری
hosting	مهمان داری
convenient store	پنساری کی دکان
plough	نانگل
plough	ہل
convention	موئتمر
aggregate	مجموعی
aggregation	بھیڑ
aggravate	شدید تر کرنا
aggregate	اکٹھا کرنا
aggregate	جمع کرنا
aggregate	کل
Sort Order	چھٹائی کی ترتیب
gavial	نہنگ
gavial	مگر مچھ
gawk	بے تکا
gawk	منہ پھاڑ کر دیکھنا
gawk	جھینپ
gawk	ہوننق
gawk	سادہ لوح
gawk	خبطی
gawkish	بے وقوف
gawkish	بے ڈھنگا
reputation	آوازہ
reputation	آبرو
reputation	ساکھ
sketchy	ناقص
sketchy	سطحی
sketch	طرح اڑانا
sketch	تصویر بنانا
sketch	نقشہ
sketch	خاکہ بنانا
sketch	ہیولا
sketch	خاکہ
skewer	سیخ
skiff	ڈونگی
repudiate	رد کرنا
repudiate	طلاق دینا
republican	جمہوری
repudiate	انکار کرنا
reptilian	خزندہ
republic	جمہورہ
reptile	زمین پر رینگنے والا
reptilian	حشراتی
reptile	ادنا انسان
reptile	خزندہ
Zechariah	زکریاہ
Malachi	ملاکی
Sindhi	سندھی
cow	گائے
generosity	سخاوت
generosity	فیاضی
Sinhalese	سنگھالی
Singhalese	سنگھالی
Sinhala	سنگھالی
vagina	andaam-nehni
vagina	bhosri
vagina	furj
vagina	kuss
vagina	چوت
Romanian	رومني
old	بوڑھا
old	پرانی
weekend	آخر ہفتہ
week	ہفتہ
weed	پوشاک
weed	لباس
weedy	مریل
weed out	خرابی دور کہنا
unreasonable	نا روا
unreasonable	نا معقول
unrealistic	خیالی
unreal	خیالی
compact disc read-only memory	کمپیکٹ ڈسک فقط مطالعہ میموری
compact disc player	کمپیکٹ ڈسک پلیئر
compact disc-rewritable	قابل ڈسک برتحریر کمپیکٹ
compact disc-recordable	قابل ڈسک ریکارڈ کمپیکٹ
crowd	بھیڑ جمع ہونا
crowd	مجمع اکٹھا ہونا
crowded	کھچا کھچ
crown	سر
crowd	جم گھٹا
crowd	جلوت
crowd	جتھا
