,Nominative/Subject Pronouns,Accusative/Object Pronouns,Pronominal Possessive/Possessive Adjectives,Predicative Possessive/Possessive Pronouns,Reflexive/Reflexive Pronouns
He,He,Him,His,His,Himself
She,She,Her,Her,Hers,Herself
They,They,Them,Their,Theirs,Themselves
Thon,Thon,Thon,Thons,Thon's,Thonself
E,E,Em,Eir,Eirs,Emself
Ae,Ae,Aer,Aer,Aers,Aerself
Co,Co,Co,Cos/Co's,Co's,Coself
Ve,Ve,Ver,Vis,Vers,Verself
Vi,Vi,Vir,Vis,Virs,Virself
Xe,Xe,Xem,Xyr,Xyrs,Xemself
Per,Per,Per,Per,Pers,Perself
Ey,Ey,Em,Eir,Eirs,Emself
Hu,Hu,Hum,Hus,Hus,Huself
Ze,Ze,Zir,Zir,Zirs,Zirself
Fae,Fae,Faer,Faer,Faers,Faerself
Ne,Ne,Nem,Nir,Nirs,Nemself
