Nominative,Accusative,Pronominal Possessive,Predicative Possessive,Reflexive
/ðɑn/,/ðɑn/,/ðɑnz/,/ðɑnz/,/ðɑnsɛlf/
/i/,/ɛm/,/ɛɹ/,/ɛɹz/,/ɛmsɛlf/
/ei/,/ɛɹ/,/ɛɹ/,/ɛɹz/,/ɛɹsɛlf/
/ko/,/ko/,/koz/,/koz/,/kosɛlf/
/vi/,"/vəɹ/, /viɹ/ †",/viz/,"/vəɹz/, /viɹz/ †","/vəɹsɛlf/, /viɹsɛlf/ †"
/zi/,/zɛm/,/ziɹ/,/ziɹz/,/zɛmsɛlf/
/pəɹ/,/pəɹ/,/pəɹ/,/pəɹz/,/pəɹsɛlf/
/eɪ/,/ɛm/,/ɛɹ/,/ɛɹz/,/ɛmsɛlf/
/hju/†,/hjum/,/hjuz/,/hjuz/,/hjusɛlf/
/i/,/ɛm/,/ɛɹ/,/ɛɹz/,/ɛmsɛlf/
/zi/,/zəɹ/,/zəɹ/,/zəɹz/,/zəɹsɛlf/
/feɪ/,/fɛɹ/,/fɛɹ/,/fɛɹz/,/fɛɹsɛlf/
