fawn	faun
succour	sucker
tolled	told
saver	savour
foul	fowl
four	4 for fore forth fourth
muzzle	muscle mussel
seventy-seven	77
caddie	caddy
auk	orc
presents	presence
swat	swot
bays	baize
daze	days
lore	law
pride	pried
humerus	humorous
lack	lac
phial	file
we'll	weal wheel
magnate	magnet
prize	pries
suite	suit sweet
harrier	hairier
clothes	close cloze
overdo	overdue
nigh	nye
blue	blew
toll	tole
new	gnu knew
mints	mince
told	tolled
sixty-eight	68
whose	who''s who's
here	hear
herd	heard
100	one hundred
aren't	ant aunt
taper	tapir
galop	gallop
allready	already
lade	laid
prints	prince
elude	allude
patience	patients
ninety	90
yore	yaw you''re you're your
would	wood
browse	brows
idyll	idle idol
arms	alms
orc	auk
call	caul
holy	holey wholly
wart	wort
muse	mews
99	ninety-nine
98	ninety-eight
91	ninety-one
90	ninety
93	ninety-three
92	ninety-two
95	ninety-five
94	ninety-four
97	ninety-seven
copse	cops
shoot	chute
room	rheum
twenty-one	21
rood	rude rued
worn	warn
ere	air heir
wort	wart
guise	guys
root	route
wane	wain
sixty-four	64
assent	ascent
want	wont
guarantee	guaranty
hoe	ho
end	an and
chilly	chile chili chilli
auger	augur
very	vary
toxin	tocsin
gate	gait
beach	beech
gamble	gambol
lam	lamb
vicious	viscous viscus
lac	lack
eighty-eight	88
lax	lacks
lay	lei ley
law	lore
scull	skull
complacent	complaisant
guerilla	gorilla guerrilla
galipot	gallipot
belle	bel bell
aloud	allowed
wine	whine
cession	session
vary	very
censer	censor censure sensor
caster	castor
mayor	mare
fir	fur
personal	personnel
fie	phi
shear	shearn sheer
then	than
eighty-six	86
break	brake
band	banned
disburse	disperse
tacet	tacit
bread	bred
rumour	roomer
meat	meet mete
thyme	time
choir	quire
each	either
side	sighed
mean	mien
wheel	we'll weal
hanger	hangar
nave	knave
whig	wig
aide	aid
taught	taut tort
we'd	weed
whit	wit
hostel	hostile
psychic	physic physique
waive	wave
forty	40
laid	lade
adapt	adept adopt
lain	lane
twenty-five	25
forth	4 for fore four fourth
grease	greece
mourning	morning
knit	nit
aisle	i'll isle
ate	8 eight
licker	liquor
days	daze
bated	baited
bite	bight byte
already	allready
twenty-two	22
officious	official
grade	grate great grid
hoop	whoop
fissure	fisher
bitten	bittern
tor	tore
carrel	carol
tow	2 to toe too two
ton	tun
eighty-two	82
airy	aerie eerie
toe	2 to too tow two
ceiling	sealing
paltry	poultry
tool	tulle
cereal	serial
chantey	shanty
spayed	spade
guild	gild
coward	cowered
trey	tray
idle	idol idyll
guilt	gilt
sees	seas seize
seer	sear sere
mind	mined
raw	roar
seed	cede
manner	manna manor
rap	rapped rapt wrap wrapped
seen	scene
seem	seam
spade	spayed
cheep	cheap
horde	hoard
indite	indict
whee	we wee
phase	faze
coin	coign
doh	doe dough
pre-emptory	peremptory
flow	floe
doe	doh dough
aunt	ant aren't
principle	principal
floe	flow
bait	bate
queen	quean
undue	undo
gauge	gage
wrung	rung
peddle	pedal
bail	bale
hoard	horde
do	dew due
sense	census
forty-nine	49
whirled	world
gored	gourd
patten	paten pattern
earn	urn
braze	braise brays
boarder	border
bay	bey
rune	ruin
tole	toll
rung	wrung
steak	stake
steal	steel
blew	blue
fair	fare
wrest	rest rust
prophesy	prophecy
clew	clue
nun	none
fain	feign
accede	exceed
away	aweigh
sail	sale
cloze	close clothes
sere	sear seer
forty-three	43
