#hash-mark	hamork
#pound-sign	pawndsoyn
%	p'rsent
&	'nd and
'allo	oluw
'bout	bawt
'cause	k'z
'course	kcrs
'cuse	kyWwz
'em	'm
'frisco	frisk'w
'gain	gen
'kay	key
'm	'm
'n	'n
'round	rawnd
's	s z
'til	til
'tis	tiz
'twas	twuz
+	plus
+plus	plUs
--dash	daS
3-d	TrYydYy
3d	TrYydYy
:00	'klok
=	Yykw'lz
@	at
a	' ey
a's	eyz
a.	ey
a.'s	eyz
a.s	eyz
a42128	eyfcrtWwuntWweyt
aa	eyey
aaa	trip'ley
aaberg	ob'rg
aachen	ok'n
aachener	ok'n'r
aah	o
aaker	ok'r
aaliyah	olYyo
aalseth	ols'T
aamodt	om't
aancor	onkcr
aardema	'rdem'
aardvark	ordvork
aardvarks	ordvorks
aargh	org
aaron	er'n
aaron's	er'nz
aarons	er'nz
aaronson	er'ns'n or'ns'n
aaronson's	er'ns'nz or'ns'nz
aarti	ortYy
aase	os
aasen	os'n
ab	ab
aba	eybYyey
ababa	'bob' ob'b'
abacha	ab'k'
aback	'bak
abaco	ab'kuw
abacus	ab'k's
abad	'bod
abadaka	'bad'k'
abadi	'badYy
abadie	'badYy
abair	'ber
abalkin	'bolk'n
abalone	ab'luwnYy
abalones	ab'luwnYyz
abalos	'bol'wz
abandon	'band'n
abandoned	'band'nd
abandoning	'band'n'N
abandonment	'band'nm'nt
abandonments	'band'nm'nts
abandons	'band'nz
abanto	'bant'w
abarca	'bork'
abare	'borYy
abascal	ab'sk'l
abash	'baS
abashed	'baSt
abasia	'beyZy'
abate	'beyt
abated	'beyt'd
abatement	'beytm'nt
abatements	'beytm'nts
abates	'beyts
abating	'beyt'N
abba	ab'
abbado	'bod'w
abbas	'bos
abbasi	'bosYy
abbate	ob'yt
abbatiello	'b'tYyel'w
abbe	'bey abYy
abbenhaus	ab'nhaws
abbett	'bet
abbeville	abv'l
abbey	abYy
abbey's	abYyz
abbie	abYy
abbitt	ab't
abbot	ab't
abbotstown	ab'tstawn
abbott	ab't
abbott's	ab'ts
abbottstown	ab'tstawn
abboud	'bWwd 'bawd
abbreviate	'brYyvYyeyt
abbreviated	'brYyvYyeyt'd
abbreviates	'brYyvYyeyts
abbreviating	'brYyvYyeyt'N
abbreviation	'brYyvYyeyS'n
abbreviations	'brYyvYyeyS'nz
abbruzzese	'brWwtseyzYy
abbs	abz
abby	abYy
abc	eybYysYy
abc's	eybYysYyz
abco	abk'w
abcotek	abk'wtek
abcs	eybYysYyz
abdalla	abdal'
abdallah	abdal'
abdel	abdel
abdella	abdel'
abdicate	abd'keyt
abdicated	abd'keyt'd
abdicates	abd'keyts
abdicating	abd'keyt'N
abdication	abd'keyS'n
abdnor	abdn'r
abdo	abd'w
abdollah	abdol'
abdomen	'bduwm'n abd'm'n
abdominal	'bdom'n'l
abduct	'bdukt
abducted	'bdukt'd
abductee	'bduktYy
abductees	'bduktYyz
abducting	'bdukt'N
abduction	'bdukS'n
abductions	'bdukS'nz
abductor	'bdukt'r
abductors	'bdukt'rz
abducts	'bdukts
abdul	'bdWwl
abdulaziz	'bdWwl'zYyz
abdulla	'bdWwl'
abdullah	abdul'
abe	eyb
abed	'bed
abedi	'bedYy
abee	'bYy
abel	eyb'l
abela	'bel'
abelard	ab'l'rd
abele	'bel
abeles	'belz eyb'lYyz
abell	eyb'l
abella	'bel'
abeln	ab'ln
abelow	ab'l'w
abels	eyb'lz
abelson	ab'ls'n
abend	'bend ab'nd
abendroth	ab'ndr'T
aber	eyb'r
abercrombie	ab'rkrombYy
aberdeen	ab'rdYyn
aberford	eyb'rf'rd
aberg	ab'rg
aberle	ab'r'l ab'rl
abermin	ab'rm'n
abernathy	ab'rnaTYy
abernethy	ab'rneTYy
aberrant	'ber'nt
aberration	ab'reyS'n
aberrational	ab'reyS'n'l
aberrations	ab'reyS'nz
abert	ab'rt
abet	'bet
abetted	'bet'd
abetting	'bet'N
abex	eyb'ks
abeyance	'bey'ns
abeyta	'beyt'
abhor	'bhcr
abhorred	'bhcrd
abhorrence	'bhcr'ns
abhorrent	'bhcr'nt
abhors	'bhcrz
abiam	eybYy'm
abiam's	eybYy'mz
abid	eyb'd
abide	'boyd
abided	'boyd'd
abides	'boydz
abiding	'boyd'N
abidjan	'b'dZon
abie	abYy
abigail	ab'geyl
abila	'bYyl'
abilene	ab'lYyn
abilities	'bil'tYyz
ability	'bil'tYy
abimael	ab'meyl
abimaels	ab'meylz
abingdon	ab'Nd'n
abington	ab'Nt'n
abio	obYy'w
abiola	obYyuwl'
abiola's	obYyuwl'z
abiomed	'ybYy'm'd
abiquiu	'bikyWw
abitibi	ab'tYybYy
abitz	ab'ts
abject	abdZ'kt
abkhazia	'bkazy' 'bkozy'
abkhazian	'bkazYy'n 'bkazy'n 'bkozYy'n 'bkozy'n
abkhazians	'bkazYy'nz 'bkozYy'nz
ablaze	'bleyz
able	eyb'l
able-bodied	eyb'lbodYyd
abled	eyb'ld
abler	eyb'l'r eybl'r
ables	eyb'lz
ablest	eyb'lst eybl'st
abloom	'blWwm
ably	eyblYy
abnegation	abn'geyS'n
abner	abn'r
abney	abnYy
abnormal	'bncrm'l
abnormalities	abncrmal'tYyz
abnormality	abncrmal'tYy
