angoleño	angoleña
brasileño	brasileña
brasilero	brasilera
caraqueño	caraqueña
congoleño	congoleña
marfileño	marfileña
paceño	paceña
limeño	limeña
quiteño	quiteña
manileño	manileña
austriaco	austriaca
austríaco	austríaca
bosnio	bosnia
bosnioherzegovino	bosnioherzegovina
canberrano	canberrana
camberrano	camberrana
jamaicano	jamaicana
jamaiquino	jamaiquina
mauriciano	mauriciana
ceilanés	ceilanesa
ceilandés	ceilandesa
esrilanqués	esrilanquesa
turcomano	turcomana
turkmeno	turkmena
afgano	afgana
albanés	albanesa
alemán	alemana
andorrano	andorrana
antiguano	antiguana
argelino	argelina
argentino	argentina
armenio	armenia
australiano	australiana
azerbaiyano	azerbaiyana
bahameño	bahameña
beliceño	beliceña
beninés	beninesa
berlinés	berlinesa
bielorruso	bielorrusa
birmano	birmana
bogotano	bogotana
boliviano	boliviana
botsuano	botsuana
bruneano	bruneana
porteño	porteña
búlgaro	búlgara
burundés	burundesa
butanés	butanesa
caboverdiano	caboverdiana
camboyano	camboyana
camerunés	camerunesa
chadiano	chadiana
chileno	chilena
chino	china
vaticano	vaticana
colombiano	colombiana
norcoreano	norcoreana
surcoreano	surcoreana
cubano	cubana
damasceno	damascena
danés	danesa
dominiqués	dominiquesa
dublinés	dublinesa
ecuatoriano	ecuatoriana
egipcio	egipcia
salvadoreño	salvadoreña
eritreo	eritrea
eslovaco	eslovaca
esloveno	eslovena
español	española
estonio	estonia
filipino	filipina
finlandés	finlandesa
fiyiano	fiyiana
francés	francesa
gabonés	gabonesa
gambiano	gambiana
georgiano	georgiana
ghanés	ghanesa
granadino	granadina
griego	griega
guatemalteco	guatemalteca
guineano	guineana
ecuatoguineano	ecuatoguineana
guyanés	guyanesa
haitiano	haitiana
hondureño	hondureña
húngaro	húngara
indio	india
indonesio	indonesia
irlandés	irlandesa
islandés	islandesa
marshalés	marshalesa
italiano	italiana
japonés	japonesa
jordano	jordana
kazajo	kazaja
keniano	keniana
kirguiso	kirguisa
kiribatiano	kiribatiana
habanero	habanera
laosiano	laosiana
letón	letona
libanés	libanesa
liberiano	liberiana
libio	libia
liechtensteiniano	liechtensteiniana
lituano	lituana
luxemburgués	luxemburguesa
macedonio	macedonia
madrileño	madrileña
burgalés	burgalesa
catalán	catalana
malasio	malasia
maldivo	maldiva
maltés	maltesa
mauritano	mauritana
mexicano	mexicana
micronesio	micronesia
moldavo	moldava
monegasco	monegasca
mongol	mongola
montevideano	montevideana
mozambiqueño	mozambiqueña
namibio	namibia
nauruano	nauruana
nepalés	nepalesa
nigerino	nigerina
nigeriano	nigeriana
noruego	noruega
neozelandés	neozelandesa
neerlandés	neerlandesa
palauano	palauana
panameño	panameña
paraguayo	paraguaya
parisino	parisina
pekinés	pekinesa
peruano	peruana
polaco	polaca
portugués	portuguesa
británico	británica
centroafricano	centroafricana
checo	checa
romano	romana
ruandés	ruandesa
rumano	rumana
ruso	rusa
samoano	samoana
sancristobaleño	sancristobaleña
josefino	josefina
sanjuanero	sanjuanera
santiaguino	santiaguina
dominicano	dominicana
sanvicentino	sanvicentina
senegalés	senegalesa
sierraleonés	sierraleonesa
sirio	siria
sudafricano	sudafricana
sudanés	sudanesa
sueco	sueca
suizo	suiza
surinamés	surinamesa
tailandés	tailandesa
tanzano	tanzana
tayiko	tayika
togolés	togolesa
tongano	tongana
tripolitano	tripolitana
tunecino	tunecina
turco	turca
tuvaluano	tuvaluana
ucraniano	ucraniana
ugandés	ugandesa
uruguayo	uruguaya
uzbeko	uzbeka
varsoviano	varsoviana
venezolano	venezolana
vienés	vienesa
washingtoniano	washingtoniana
yibutiano	yibutiana
zaireño	zaireña
zambiano	zambiana
inglés	inglesa
