angoleños	angoleñas
brasileños	brasileñas
brasileros	brasileras
caraqueños	caraqueñas
congoleños	congoleñas
marfileños	marfileñas
paceños	paceñas
limeños	limeñas
quiteños	quiteñas
manileños	manileñas
austriacos	austriacas
austríacos	austríacas
bosnios	bosnias
bosnioherzegovinos	bosnioherzegovinas
canberranos	canberranas
camberranos	camberranas
jamaicanos	jamaicanas
jamaiquinos	jamaiquinas
mauricianos	mauricianas
ceilaneses	ceilanesas
ceilandeses	ceilandesas
esrilanqueses	esrilanquesas
turcomanos	turcomanas
turkmenos	turkmenas
afganos	afganas
albaneses	albanesas
alemanes	alemanas
andorranos	andorranas
antiguanos	antiguanas
argelinos	argelinas
argentinos	argentinas
armenios	armenias
australianos	australianas
azerbaiyanos	azerbaiyanas
bahameños	bahameñas
beliceños	beliceñas
benineses	beninesas
berlineses	berlinesas
bielorrusos	bielorrusas
birmanos	birmanas
bogotanos	bogotanas
bolivianos	bolivianas
botsuanos	botsuanas
bruneanos	bruneanas
porteños	porteñas
búlgaros	búlgaras
burundeses	burundesas
butaneses	butanesas
caboverdianos	caboverdianas
camboyanos	camboyanas
cameruneses	camerunesas
chadianos	chadianas
chilenos	chilenas
chinos	chinas
vaticanos	vaticanas
colombianos	colombianas
norcoreanos	norcoreanas
surcoreanos	surcoreanas
cubanos	cubanas
damascenos	damascenas
daneses	danesas
dominiqueses	dominiquesas
dublineses	dublinesas
ecuatorianos	ecuatorianas
egipcios	egipcias
salvadoreños	salvadoreñas
eritreos	eritreas
eslovacos	eslovacas
eslovenos	eslovenas
españoles	españolas
estonios	estonias
filipinos	filipinas
finlandeses	finlandesas
fiyianos	fiyianas
franceses	francesas
gaboneses	gabonesas
gambianos	gambianas
georgianos	georgianas
ghaneses	ghanesas
granadinos	granadinas
griegos	griegas
guatemaltecos	guatemaltecas
guineanos	guineanas
ecuatoguineanos	ecuatoguineanas
guyaneses	guyanesas
haitianos	haitianas
hondureños	hondureñas
húngaros	húngaras
indios	indias
indonesios	indonesias
irlandeses	irlandesas
islandeses	islandesas
marshaleses	marshalesas
italianos	italianas
japoneses	japonesas
jordanos	jordanas
kazajos	kazajas
kenianos	kenianas
kirguisos	kirguisas
kiribatianos	kiribatianas
habaneros	habaneras
laosianos	laosianas
letones	letonas
libaneses	libanesas
liberianos	liberianas
libios	libias
liechtensteinianos	liechtensteinianas
lituanos	lituanas
luxemburgueses	luxemburguesas
macedonios	macedonias
madrileños	madrileñas
burgaleses	burgalesas
catalanes	catalanas
malasios	malasias
maldivos	maldivas
malteses	maltesas
mauritanos	mauritanas
mexicanos	mexicanas
micronesios	micronesias
moldavos	moldavas
monegascos	monegascas
mongoles	mongolas
montevideanos	montevideanas
mozambiqueños	mozambiqueñas
namibios	namibias
nauruanos	nauruanas
nepaleses	nepalesas
nigerinos	nigerinas
nigerianos	nigerianas
noruegos	noruegas
neozelandeses	neozelandesas
neerlandeses	neerlandesas
palauanos	palauanas
panameños	panameñas
paraguayos	paraguayas
parisinos	parisinas
pekineses	pekinesas
peruanos	peruanas
polacos	polacas
portugueses	portuguesas
británicos	británicas
centroafricanos	centroafricanas
checos	checas
romanos	romanas
ruandeses	ruandesas
rumanos	rumanas
rusos	rusas
samoanos	samoanas
sancristobaleños	sancristobaleñas
josefinos	josefinas
sanjuaneros	sanjuaneras
santiaguinos	santiaguinas
dominicanos	dominicanas
sanvicentinos	sanvicentinas
senegaleses	senegalesas
sierraleoneses	sierraleonesas
sirios	sirias
sudafricanos	sudafricanas
sudaneses	sudanesas
suecos	suecas
suizos	suizas
surinameses	surinamesas
tailandeses	tailandesas
tanzanos	tanzanas
tayikos	tayikas
togoleses	togolesas
tonganos	tonganas
tripolitanos	tripolitanas
tunecinos	tunecinas
turcos	turcas
tuvaluanos	tuvaluanas
ucranianos	ucranianas
ugandeses	ugandesas
uruguayos	uruguayas
uzbekos	uzbekas
varsovianos	varsovianas
venezolanos	venezolanas
vieneses	vienesas
washingtonianos	washingtonianas
yibutianos	yibutianas
zaireños	zaireñas
zambianos	zambianas
ingleses	inglesas
